11,A39O5U7UDZ6Y96,2013-09-13,1.0,15.0,19.0,4.0,16GB,a big letdown.,ive had this one less than a year and in that time the ability to use wifi and bluetooth have grayed out and now its completely dead.  no amount of restores will work and apple just shrugs their shoulders. im now switching to something else.  never again will i buy an iphone..
12,A4N46GVEYG39S,2014-06-27,2.0,4.0,4.0,0.0,16GB,doesnt fit the description.,i ordered a completely new iphone 5 but instead received a refurbished one.i found that out when i took my iphone to the apple store to see whats the problem behind it not working with my sim card. turned out that it was locked on att when it was supposed to be an unlocked phone. respectively  i received a completely different item than i ordered..
13,A1IIB0JVMUI2YD,2013-10-18,1.0,17.0,22.0,5.0,16GB,.,i had a lot of trouble buying that phone  when u read on the description parts   it said unlock but it wasnt.
14,A3GMMI1FYLI6YF,2013-06-24,4.0,25.0,34.0,9.0,16GB,switched from android. i finally understand  hardcore techy  ios vs android vs windows phone 8.,hi there  this is a review from a 22 year old tech enthusiast. the review is quite long  but i have organized them into separate categories  so you dont have to read the whole thing. heres a little about myself.  i am a computer science major  and have always been an android fan. ive owned  nexus 4 galaxy nexus samsung galaxy s2 samsung note htc amaze htc sensation htc radar htc 8x many other older models  needless to say  i have had a lot of experience of all three mobile oses. i am very enthusiastic about tech  always swapping phones  always looking for that perfect phone. i own a macbook air and a custom built gaming desktop pc.  why i chose the iphone over the htc one and s4 i am under my stepdads family plan  so when it was time to upgrade  i had to choose between the htc one  s4  and iphone 5. i always thought i would choose the htc one when it first came out. however  i chose the iphone 5 mainly because i wanted something new to try. i know that the htc one and s4 are both great options  but they did not feel like a significant upgrade from a nexus 4 which i love. in fact  they seemed slower than the nexus 4 in everyday tasks most likely from fragmentation from htc/samsung overlays and carrier apps. the htc one has much better hardware than the nexus 4  but there is a definitely lag in the os due to the fragmentation. samsung s4 does a much better job with their software  but i hate their plastic feel. imho  i like the overall package that the nexus 4 gives you  which is high quality in both software and hardware. so because i felt my nexus 4 is better than both the one and s4  i decided to try out the iphone 5.  what i think of android i absolutely love the nexus 4 and the galaxy nexus  but i hate every other android phones. the fragmentation just makes the entire experience a chore. i spent so much time installing custom mods. most of the phones had major shortcomings no/late updates  battery life  intense lag  etc. to fix the software shortcomings  you would have to know how to mod  then research the best mods for you specific phone model  and update the mods when the cook for the mod release a new version. furthermore  the mods you install would oftentimes have bugs of its own. it just seems in order to enjoy nonnexus android phones  you have to be willing to spend the time on the phone. to me  thats bull****. i dont want to spend time on a phone  i have other stuff to do. a phone should make your life simpler  not the other way around. dont get me wrong  i absolutely love the nexus 4  the only shortcoming i see it having is it doesnt have lte and the glass back cracks easily. im not bashing on android  in fact there are a lot of things in android that i love which i cant do in ios torrents and file management to name a couple. android also syncs well with both pc and mac because of the file management system  and that most of its information is stored in the cloud. but the main idea here is that android is cluttered with too many information and overlay skins except for the nexus phones  major drawbacks whether it be software or hardware  and complicated. nexus phones on the other hand  ha great hardware and software. no overlay skins or carrier apps  just pure android. simple. if you like android  get a nexus device.  what i think of windows phone 8 two words. too young. the apps are noticeable worse than the android and ios counterparts. the youtube app was downright frustrating to use. i think microsoft is going in the right direction  giving the pc and phone a similar feel and integrating them together  but as of right now  they are still behind the curve. it syncs well with windows 8 pc  so it is simple to use  but the apps right now are simply trash. windows phone feels more like ios than android because they made it very simple to use and also limiting.  what i think of ios simplicity. sometimes a little too simple simple wifi toggles are impossible  will change in ios 7. to an advanced user like me  it also feels constricted. i cant just drag a movie file into the iphone  i have to convert the movie file into a file that itunes accept  then sync itunes with iphone. however  i do think itunes is a pro because it is kind of like the command center of your ios devices  where everything is located in one location  something i wish google will work on. ios is also very fluid. it is noticeable more fluid than the htc one and s4  but less so with the nexus 4. but mainly  the feeling you get with ios is simplicity. for example  lets look at the camera app. it doesnt give you as many options as the htc one camera app  but thats just how i like it. the options the iphone camera let you change are the options i actually understand  i have no idea most of what the htc one camera option even do. this can relate to almost everything on ios. it doesnt give you a lot of options  which equates to less clutter. the options they give you are options you understand and actually use. simple simple simple. ios also syncs very well with other apple products  and decently well with windows pc through itunes.  iphone 5 vs nexus 4 hardware only ill be comparing the iphone 5 to my favorite phone of all time yes even more than the htc one as explained above  nexus 4. the iphone have a better quality screen  better camera  better speakers  better built quality  slightly better battery life  lte support  better call quality 3 mikes  physical camera button volume up. the nexus 4 have better grips  smoother touchscreen slippery  bigger screen  faster processor and more ram though that doesnt matter in real life  smaller bezel. the screen is smaller on the iphone  which many see as a con  but i know that my girlfriend actually prefers a smaller screen because she likes smaller phones more pocketable...her words. i also enjoy having a change of pace with the smaller display  i can actually operate the phone with one hand  and its a lot less noticeable in my pocket. in general  the iphone 5 is better hardwarewise.  iphone 5 vs nexus 4 software only a lot of the shortcomings for android phones are not on the nexus 4. the nexus 4 is always updated with the latest software from google  and its super fluid. it doesnt have any htc/samsung/motorola overlays  or carrierforced apps. most importantly  pure android feels simple. something google needs to work on is something similar to itunes  a central program that keeps all the data of your phone and organizes them in a computer. i also absolutely love the software back  home  menu buttons. this is absolutely genius when the first introduced it on the galaxy nexus. this allows the phone to give you a wider screen realestate when you watch videos  and allowing the phone to have a smaller bezel. ios on the other hand feels even simpler  sometimes to a fault. like i said earlier  transferring movies onto the iphone seems like a chore  but it does stay in the itunes library for the future  so its not too bad. apples multitasking can be oftentimes more limiting than android  but it does save battery life. i am a very big supporter of apples hardware and software optimization. apple makes most of their hardware and all of their software  and they do it in a way that makes them work so well together. the iphone 5s power is probably half as powerful as the nexus 4 specwise  but it runs as fluid if not more fluid than the nexus 4. siri versus google now is also something to compare  but to me they are both great options much better than svoice at least. overall  android on the nexus 4 has a slight advantage over ios in my opinion  but ios is more simpler and organized.  this really depends on personal preference.  iphone 5 impressions after using the phone for about a week  i have not had any major issues or see any major drawbacks. the phone is simple and problem free. this is in no way of saying the iphone is perfect  its far from it. with my previous phones excluding nexus 4  ive always found major drawbacks that i simply cant live with  which explains why i switched phones so many times until i got the nexus 4  which ive stayed with for the longest. the iphone provides fantastic and beautiful hardware  optimized and simple software  and wraps them up together into a great experience. i also know that they will keep me updated with the latest softwares  unlike nonnexus android phones. the limitations on ios does give me some issues as an advanced user  but honestly  it doesnt bother me that much  simply because i dont do many advanced things on my phone anyways. the screen is a change of pace to me also  but i do enjoy using the phone in one hand  its a much better fit. to me  apple gives me the impression that it doesnt do anything perfectly  but it does do everything very very well.  conclusion do i recommend the iphone 5 well  how much money do you have if money is not an issue  go for it. if money is an issue  buy the nexus 4. both phones will give you a great experience. buy the htc one or s4 if you absolutely want a 1080p display and lte and hate the limitations of ios  but just know their software updates are usually months late  and sometimes will never come  and you will have a very cluttered experience. dont buy a windows 8 phone unless you have a very specific reason to do so.  i know of the android vs ios flame war that goes on even today  but it really boils down to personal preference. ive been on the android ship for a long time  because android allows me to do more stuff on my phone. but now that ive used so many different phones  i realize i dont use my phone to do anything advanced  i save that stuff for my computer. i realize i need a phone that doesnt need me to provide maintenance and troubleshoot. i need a phone that simplifies my life. i need a phone that does everything well. both the iphone 5 and nexus 4 does it. simplicity sells  and that is one thing that apple and google understands. samsung and htc has much to learn.    update after using the iphone for a little longer  i can say that there are some gripes i have against it  but also some positives.  cons most of my complaints stems from the lack of file management. for example i cant download a file from my email  only view it. i miss swype watching videos on a 4inch screen does seem constricting at first  but i got used to it. when using android  there usually is always a setting i can find that would solve whatever thats bothering me  whether its an android setting or app setting. on ios  many times i cant find those settings. android notifications seem better.  pros i thought my nexus 4 had a beautiful screen  but after using the iphone 5 and going back to the nexus 4 to try it out  i find the nexus 4s color washed out and inaccurate. the iphone 5 has a gorgeous screen. nexus 4 also seems super fat now lol. itunes keeps me organized  and also backs my iphones data up. nice to see coming from android. the size of the iphone really does feel great in one hand. most of the 4.7+ android phones feel constricting simply because you need both your hands free to do most tasks  especially on the galaxy notes. the reader feature on safari is fantastic the do not disturb feature is more useful than i thought. once again  the iphone reiterates to me that it doesnt do anything perfectly  but it does everything well.  additional thoughts google just added the htc one and s4 google edition phones on their play store. to summarize  both are running pure android  thus i think theyre better. however  because google wasnt the one who made the hardware for these phones  the pure android software isnt optimized on the phones yet. for example  most tasks seem faster on the skinned version of the phones. the ir blaster on the htc one also doesnt work as of right now. small things like this makes me hesitant to pay 600 for them right now. i rather wait for the next nexus device..
15,A2P6WKFYV8A3PC,2013-09-13,3.0,3.0,3.0,0.0,16GB,bought it for my niece..,i will never be dependent of na apple product or any other company which obliges me to do somethiing through a specific way. nokia sells more cellphones than the other four major brands combined. i particularly own na htc  but will switch to nokia soon.  however  teenagers are so into fashion and so ignorant regarding technology  all they want is to have what they think most people have  thus  the reason i bought the iphone for her  who now is starting to realize the few issues with apples os..
16,A36RKZS455BETF,2013-06-20,1.0,13.0,17.0,4.0,16GB,telephon lock.,i bought a unloched iphone but this item was lock  even due i ask that i need an unlocked phone   i especifficly that i need an unlock phone before the purchase. what can i do now.
17,A2U4TZ5PV6AGP1,2015-01-20,1.0,3.0,3.0,0.0,16GB,refurbished  not what i wanted..,it says its new  but it is refurbished. the charging port was not legitimate. the phone did not charge after a week. the earphones and the charging cable were also knockouts.  please  do not buy from these people. spend a little bit more and get it from the apple store. if you have any problems they will fix your phone or trade it for a new one..
18,A2XIOXRRYX0KZY,2014-07-25,5.0,2.0,2.0,0.0,16GB,or youre looking for a nice phone  this is a pretty great piece of ....,whether you prefer android  ios  or windows phone or even one of the less common options is a matter of personal taste. if youre an existing fan of ios  though  or youre looking for a nice phone  this is a pretty great piece of electronics.  i used it as my primary device for quite a while and it was always reliable. generally speaking  it had better reception than the other people around me. it seems that apple started putting a 2nd antenna in their devices after the issues with the iphone 4 antenna  and now it tends to have a reliably strong connection.  an iphone 5 runs ios 7 smoothly enough that i really never felt like i was missing out on anything by not having an iphone 5s. you can also be pretty confident that ios will continue to support the iphone 5 for a long time because the iphone 5c has the same hardware. since theyre still selling the 5c now  and apple continues support for a piece of hardware for at least a couple of years  these are well positioned for long term use even though theyre not exactly freshly released.  i actually personally preferred the slightly shorter screen that they had prior to the iphone 5  but i can understand why they felt they had to add more room. i was happy it stayed slim enough to be easily used onehanded.  its been a very lowfuss device that just does what i need it to do. the biggest advantage of iphone is probably that it has such incredible support from 3rd parties. the variety of accessories and apps  and the quality of them  is pretty amazing..
19,A7FAJVESJB3NU,2012-10-17,5.0,51.0,72.0,21.0,16GB,the best in my opinion.,pro the best phone  fancy design. light weight. bigger screen. everything is better than 4s.  con  pricy. you can get same one in ebay for 770.  if you are tmobile user > you should get a1428 model  not a1429 model.. tmobile will use att spectrum for lte in the usa. if you get this model a1429 for tmobile  u will be stuck with 3g only be aware.
20,A390JOY4LN3PBP,2012-11-11,2.0,90.0,129.0,39.0,16GB,disappointed.,i never wrote any review. this is my first time because i was so disappointed about my iphone 5. i am a huge fan of iphone and never go with anything else. i am using a macbook pro  and owned a macbook air. i was excited to wait for iphone 5. first  i love the new design. the weight is light  and the phone looks just so elegant compare to the 4 and 4s. i love the white color  and of course  the screen and its contrast is much better than the samsung galaxy note 2 my hubby using the note 2  switched from iphone 4s. so  2 stars because of the design. the disappointed part came from the signal. i got no wifi signal in my house  although i stand next to my router. my 4 and the note 2 got full bar of signal. but thats not the end of the story. last week i had some follow up with my dentist and my doctor. none of them could get a hold of me. they even asked me  when i called back  which is the good number to call me because theyd tried so many time but got my voice mail and if the voice mail is from the morning  it will never show up in my phone until afternoon or late evening. guess what  there was no signal/no service in my office which never happened to my iphone 4 nor the note 2  or any other phone everyone used in there. only 2 people did not have any signal at all  me and my boss who just got the iphone 5 as well. no wifi  no service  and no 4g. i felt like i was isolated in an island during 9 hours at work a day. not that  the signal got lost when i was on the road  too.  i went to apple store thinking of exchanging another phone  so i brought the 4 and note 2 with me just showing them i got issue with signal  not that i want something new in the box for resales or anything. they told me its a known issue and all the phone would be the same. we did a test. 5 apple staff carried 5 iphone 5 and me stepping out of the store. we all stood like 34 stores from the apple store. guess what none of their iphone 5 got any wifi signal nor the 4g works. my iphone 5 got 1 bar  but it went on and off  my 4 got 2 bars  and the samsung note got full bar so they proved to me nothing was wrong with my phone. i even got some sort of signal while they did not at all.  i am back to my iphone 4 now and returned the 5. att tried to sell me the galaxy s3  but because i always support apple  i did not want to use samsung. since i am back to iphone 4  i got service  signal  3g  wifi.. everything in my office  at the gym  at home  or anywhere i go..
